sequence,fake_file,FID
K05_A010_R04,K05_A010_R04_label_9.npy,20.572765383628603
K05_A011_R01,K05_A011_R01_label_10.npy,9.363428055070532
K05_A011_R02,K05_A011_R02_label_10.npy,13.337380823065603
K05_A011_R03,K05_A011_R03_label_10.npy,10.555752096380326
K05_A011_R04,K05_A011_R04_label_10.npy,16.690470279960586
K05_A012_R01,K05_A012_R01_label_11.npy,27.460638314220965
K05_A012_R02,K05_A012_R02_label_11.npy,31.505731919652096
K05_A012_R03,K05_A012_R03_label_11.npy,33.281225135886096
K05_A012_R04,K05_A012_R04_label_11.npy,54.477088835219206
K05_A013_R01,K05_A013_R01_label_12.npy,7.134730673701376
K05_A013_R02,K05_A013_R02_label_12.npy,6.917110038424095
K05_A013_R03,K05_A013_R03_label_12.npy,11.865909310900747
K05_A013_R04,K05_A013_R04_label_12.npy,7.1001220046968365
K05_A014_R01,K05_A014_R01_label_13.npy,9.81329609222813
K05_A014_R02,K05_A014_R02_label_13.npy,9.381956116154285
K05_A014_R03,K05_A014_R03_label_13.npy,11.942072925035578
K05_A014_R04,K05_A014_R04_label_13.npy,36.62212082189724
K05_A015_R01,K05_A015_R01_label_14.npy,3.6924978575446996
K05_A015_R02,K05_A015_R02_label_14.npy,10.242261118155364
K05_A015_R03,K05_A015_R03_label_14.npy,9.737763868572653
K05_A015_R04,K05_A015_R04_label_14.npy,10.611527884336061
K06_A001_R01,K06_A001_R01_label_0.npy,16.366828143976228
K06_A001_R02,K06_A001_R02_label_0.npy,15.899477562216079
K06_A001_R03,K06_A001_R03_label_0.npy,15.448006008571129
K06_A001_R04,K06_A001_R04_label_0.npy,14.255576173088661
K06_A002_R01,K06_A002_R01_label_1.npy,16.722427956253107
K06_A002_R02,K06_A002_R02_label_1.npy,20.885379924413225
K06_A002_R03,K06_A002_R03_label_1.npy,19.101974980578287
K06_A002_R04,K06_A002_R04_label_1.npy,16.175197418097728
K06_A003_R01,K06_A003_R01_label_2.npy,39.30448092937115
K06_A003_R02,K06_A003_R02_label_2.npy,24.099022340502877
K06_A003_R03,K06_A003_R03_label_2.npy,47.69465445744742
K06_A003_R04,K06_A003_R04_label_2.npy,21.671461518673286
K06_A004_R01,K06_A004_R01_label_3.npy,4.992810240678461
K06_A004_R02,K06_A004_R02_label_3.npy,6.774889342377003
K06_A004_R03,K06_A004_R03_label_3.npy,8.007347574484719
K06_A004_R04,K06_A004_R04_label_3.npy,8.852913576366875
K06_A005_R01,K06_A005_R01_label_4.npy,13.098476691275595
K06_A005_R02,K06_A005_R02_label_4.npy,3.2561527233527094
K06_A005_R03,K06_A005_R03_label_4.npy,10.457034891386222
K06_A005_R04,K06_A005_R04_label_4.npy,7.373185157776149
K06_A006_R01,K06_A006_R01_label_5.npy,6.302135221412032
K06_A006_R02,K06_A006_R02_label_5.npy,5.844678210304133
K06_A006_R03,K06_A006_R03_label_5.npy,9.590782326487151
